,sharePrice_change,percentYearIncrease,percentYearIncrease_change,market_cap,market_cap_change,analystRecommend,analystRecommend_change,totalSentiment,totalSentiment_change,cnnP/S,cnnP/S_change,popularity,popularity_change,relevance,relevance_change,ytdPercent,ytdPercent_change,yahooOutlookLevel,yahooOutlookLevel_change,fair_value,fair_value_change,guruRating,guruRating_change,sector,industry,sectorSuccess,sectorSuccess_change,5-Year EBITDA Growth Rate,5-Year EBITDA Growth Rate_change,Altman Z-Score,Altman Z-Score_change,Beneish M-Score,Beneish M-Score_change,Book Value per Share,Book Value per Share_change,Cash per Share,Cash per Share_change,Dividends per Share,Dividends per Share_change,E10,E10_change,Earnings per Share (Diluted),Earnings per Share (Diluted)_change,EBIT per Share,EBIT per Share_change,EBITDA per Share,EBITDA per Share_change,EPS without NRI,EPS without NRI_change,FFO per Share,FFO per Share_change,Financial Strength,Financial Strength_change,Float Percentage Of Total Shares Outstanding,Float Percentage Of Total Shares Outstanding_change,Free Cash Flow per Share,Free Cash Flow per Share_change,Insider Ownership,Insider Ownership_change,Institutional Ownership,Institutional Ownership_change,Net Cash per Share,Net Cash per Share_change,Net Current Asset Value,Net Current Asset Value_change,Net-Net Working Capital,Net-Net Working Capital_change,Owner Earnings per Share (TTM),Owner Earnings per Share (TTM)_change,Piotroski F-Score,Piotroski F-Score_change,Predictability Rank_change,Profitability Rank,Profitability Rank_change,Quality Rank_change,Revenue per Share,Revenue per Share_change,Scaled Net Operating Assets,Scaled Net Operating Assets_change,Short Interest_change,Short Percentage of Float_change,Tangible Book per Share,Tangible Book per Share_change,Total Debt per Share,Total Debt per Share_change,Valuation Rank_change,YoY EBITDA Growth,YoY EBITDA Growth_change,YoY EPS Growth,YoY EPS Growth_change,YoY Rev. per Sh. Growth,YoY Rev. per Sh. Growth_change,Asset Turnover_change,Buyback Yield %,Buyback Yield %_change,Cash Conversion Cycle,Cash Conversion Cycle_change,COGS-to-Revenue_change,Current Ratio,Current Ratio_change,Days Inventory,Days Inventory_change,Days Payable,Days Payable_change,Days Sales Outstanding,Days Sales Outstanding_change,Debt-to-Asset,Debt-to-Asset_change,Debt-to-EBITDA,Debt-to-EBITDA_change,Debt-to-Equity,Debt-to-Equity_change,Debt-to-Revenue,Debt-to-Revenue_change,Earnings Yield %,Earnings Yield %_change,Earnings Yield (Joel Greenblatt) %,Earnings Yield (Joel Greenblatt) %_change,Effective Interest Rate on Debt %,Effective Interest Rate on Debt %_change,Equity-to-Asset,Equity-to-Asset_change,EV-to-EBIT,EV-to-EBIT_change,EV-to-EBITDA,EV-to-EBITDA_change,EV-to-Revenue,EV-to-Revenue_change,Forward PE Ratio,Forward PE Ratio_change,Forward Rate of Return (Yacktman) %,Forward Rate of Return (Yacktman) %_change,Goodwill-to-Asset,Goodwill-to-Asset_change,Gross-Profit-to-Asset %,Gross-Profit-to-Asset %_change,Inventory Turnover,Inventory Turnover_change,Inventory-to-Revenue,Inventory-to-Revenue_change,LT-Debt-to-Total-Asset,LT-Debt-to-Total-Asset_change,PB Ratio,PB Ratio_change,PE Ratio,PE Ratio_change,PE Ratio without NRI,PE Ratio without NRI_change,PEG Ratio,PEG Ratio_change,Price-to-Free-Cash-Flow,Price-to-Free-Cash-Flow_change,Price-to-Funds-From-Operations,Price-to-Funds-From-Operations_change,Price-to-Operating-Cash-Flow,Price-to-Operating-Cash-Flow_change,Price-to-Owner-Earnings,Price-to-Owner-Earnings_change,Price-to-Tangible-Book,Price-to-Tangible-Book_change,PS Ratio,PS Ratio_change,Quick Ratio,Quick Ratio_change,Return-on-Tangible-Asset,Return-on-Tangible-Asset_change,ROA %,ROA %_change,ROC %,ROC %_change,ROC (Joel Greenblatt) %,ROC (Joel Greenblatt) %_change,ROCE %,ROCE %_change,ROE %,ROE %_change,ROE % Adjusted to Book Value,ROE % Adjusted to Book Value_change,ROIC %,ROIC %_change,Shares Buyback Ratio %,Shares Buyback Ratio %_change,Shiller PE Ratio,Shiller PE Ratio_change,Short Ratio_change,Sloan Ratio %,Sloan Ratio %_change,WACC %,WACC %_change,FCF Margin %,FCF Margin %_change,Gross Margin %,Gross Margin %_change,Net Interest Margin (Bank Only) %,Net Interest Margin (Bank Only) %_change,Net Margin %,Net Margin %_change,Operating Margin %,Operating Margin %_change,s&p_change
GVA,-0.02289281997918823,-0.013620320900000002,0.01520314596857313,1800000000,0.0,5.196152423,1.9999999994226494,0.06932448152000001,-0.28959445300772496,0.34,-0.081081081081081,0.3475428936,0.3582461247399299,317,0.0,42.87,-0.04733333333333339,-3,-0.0,-1,-0.0,1.0,0.0,2,21,17,0.0,0.0,0.0,2.58,0.0,-3.39,-0.0,21.36,0.0,13.68,0.0,0.52,0.0,0.37,0.0,-3.2,-0.0,-3.12,-0.0,-0.66,-0.0,-3.2,-0.0,0.0,0.0,5,-0.16666666666666666,58.75,0.0,3.83,0.0,1.89,0.0,95.8,0.0,-17.07,-0.0,1.11,0.0,-7.28,-0.0,0.57,0.0,6.0,0.0,0,5,0.0,0,77.8,0.0,0.3,0.0,0,0,18.08,0.0,8.44,0.0,0,691.2,0.0,140.48,0.0,7.38,0.0,0.0,0.05,0.0,27.57,0.0,0.0,1.54,0.0,10.03,0.0,40.49,0.0,58.03,0.0,0.16,0.0,2.13,0.0,0.4,0.0,0.1,0.0,0.0,0.0,-14.29,-0.0,5.92,0.0,0.41,0.0,-10.93,-0.007266121707538608,-53.06,-0.007296538821328354,0.44,0.0,0.0,0.0,0.0,0.0,0.05,0.0,17.53,0.0,9.1,0.0,0.1,0.0,0.16,0.0,1.82,-0.005464480874316944,0.0,0.0,0.0,0.0,0.0,0.0,10.13,-0.005888125613346293,0.0,0.0,6.62,-0.004511278195488759,68.14,-0.005400671434827099,2.15,-0.004629629629629736,0.5,0.0,1.46,0.0,1.39,0.0,1.32,0.0,1.01,0.0,11.34,0.0,4.59,0.0,3.29,0.0,2.63,0.0,1.01,0.0,-0.36,-0.0,104.97,-0.005400795906765277,0,-15.64,-0.0,10.02,-0.0059523809523810015,11.79,0.0,11.28,0.0,0.0,0.0,0.85,0.0,0.62,0.0,0.016130646275355952
SHEN,0.004482477587612039,0.2748175773,0.00020412321818221796,2521000000,0.0,1.4142135619999998,0.0,0.05774789834,-0.30920017247780923,9.8,0.0,1.814848485,0.0,98,0.0,13.02,-0.05515239477503627,3,0.0,-1,-0.0,1.0,0.0,19,90,8,1.6666666666666667,-27.9,-0.0,1.85,0.005434782608695656,-3.28,-0.0,11.68,0.0,3.92,0.0,0.34,0.0,0.9,0.0,2.53,0.0,1.41,0.0,3.35,0.0,0.91,0.0,0.0,0.0,4,0.0,70.28,0.0,3.64,0.0,3.07,0.0,79.85,0.0,-25.14,-0.0,-0.81,-0.0,-24.09,-0.0,1.4,0.0,7.0,0.0,0,6,0.0,0,8.71,0.0,0.56,0.0,0,0,9.54,0.0,14.8,0.0,0,15.32,0.0,262.96,0.0,8.79,0.0,0.0,0.0,0.0,18.84,0.0,0.0,1.17,0.0,0.0,0.0,89.52,0.0,108.36,0.0,0.36,0.0,12.9,0.0,1.27,0.0,3.17,0.0,5.08,-0.007812500000000007,2.61,0.0,0.0,0.0,0.29,0.0,43.02,0.00608044901777374,18.07,0.006124721603563443,6.95,0.005788712011577429,24.82,0.009353395689304612,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.27,0.009456264775413508,19.69,0.0071611253196931235,54.75,0.007545086492454851,0.0,0.0,13.67,0.0073691967575534,0.0,0.0,8.23,0.007343941248470073,35.59,0.0076443941109853655,5.22,0.007722007722007729,5.72,0.007042253521126767,1.17,0.0,10.31,0.0,9.77,0.0,0.34,0.0,0.55,0.0,0.81,0.0,34.87,0.0,9.42,0.0,0.34,0.0,-0.4,-0.0,55.36,0.0076447033127048005,0,-1.01,-0.0,4.1,-0.014423076923077042,65.12,0.0,60.37,0.0,0.0,0.0,84.76,0.0,2.78,0.0,0.016130646275355952
WPC,0.02698923227520616,0.5027070926,-0.027070925757972,12911000000,0.021197500593213636,3.0,0.0,0.08024204985,-0.012335146607350142,10.13,0.0,2.486388889,-0.12288094060737914,236,0.012875536480686695,4.11,1.2336956521739133,0,-1.0,-1,-0.0,1.0,0.0,6,6,18,0.0,-0.6,-0.0,1.01,0.03061224489795921,-3.32,-0.0,39.21,0.0,1.42,0.0,4.17,0.0,2.48,0.0,2.6,0.0,3.74,0.0,6.66,0.0,2.6,0.0,5.1,0.0,3,-0.25,85.2,0.0,4.58,0.0,5.12,0.0,67.55,0.0,-43.23,-0.0,-42.97,-0.0,-43.23,-0.0,5.12,0.0,5.0,0.0,0,6,0.0,0,6.92,0.0,0.94,0.0,0,0,15.87,0.0,38.18,0.0,0,-7.72,-0.0,1.33,0.0,-3.12,-0.0,0.0,0.0,0.0,-1951.96,-0.0,0.0,0.37,0.0,0.0,0.0,1952.05,0.0,0.09,0.0,0.46,0.0,5.2,0.0,0.97,0.0,5.45,0.0,3.52,-0.032967032967032996,3.48,0.0,3.27,0.0,0.47,0.0,29.76,0.023031969749054717,16.75,0.023213194868662124,16.13,0.023477157360406044,0.0,0.0,5.51,0.0,0.06,0.0,7.76,0.0,0.0,0.0,0.0,0.0,0.46,0.0,1.89,0.03846153846153837,28.43,0.03457059679767101,28.43,0.03457059679767101,0.0,0.0,16.14,0.03461538461538467,14.5,0.034236804564907304,16.14,0.03461538461538467,14.44,0.03512544802867385,4.66,0.03555555555555559,10.68,0.03388189738625359,0.37,0.0,5.19,0.0,3.73,0.0,3.88,0.0,0.0,0.0,5.69,0.0,7.82,0.0,4.34,0.0,3.88,0.0,-1.81,-0.0,29.81,0.034710170079833395,0,1.32,0.0,5.18,-0.005758157389635365,79.69,0.0,91.23,0.0,0.0,0.0,43.78,0.0,47.29,0.0,0.016130646275355952
CRK,-0.029292929292929384,1.937607114,0.02769493600119591,1212000000,-0.0955223880597015,9.949874371,-0.04257289267260096,0.07027508403,-0.27010892598755093,1.1,0.0,1.518981959,-0.20812545097960616,731,0.004120879120879121,8.7,-0.3555555555555556,-3,-3.0,-1,-0.0,1.0,0.0,17,46,19,0.0,0.0,0.0,0.47,-0.04081632653061228,-2.94,-0.0,5.45,0.0,0.13,0.0,0.0,0.0,-17.42,-0.0,-0.41,-0.0,0.66,0.0,2.42,0.0,-0.41,-0.0,0.0,0.0,3,0.0,26.76,0.0,0.29,0.0,1.75,0.0,11.24,0.0,-13.56,-0.0,-13.59,-0.0,-13.84,-0.0,0.61,0.0,3.0,0.0,0,2,0.0,0,3.61,0.0,0.87,0.0,0,0,4.01,0.0,10.86,0.0,0,1.54,0.0,57.89,0.0,-22.01,-0.0,0.0,0.0,0.0,-84.18,-0.0,0.0,0.45,0.0,1.69,0.0,126.84,0.0,40.97,0.0,0.55,0.0,2.18,0.0,1.75,0.0,2.3,0.0,0.0,0.0,4.7,0.0,10.47,0.0,0.31,0.0,21.81,-0.02633928571428571,6.4,-0.02587519025875189,4.4,-0.02654867256637151,0.0,0.0,0.0,0.0,0.07,0.0,9.54,0.0,53.89,0.0,0.01,0.0,0.55,0.0,0.88,-0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,16.35,-0.08352017937219722,0.0,0.0,1.97,-0.08372093023255811,7.83,-0.08313817330210763,1.19,-0.08461538461538469,1.32,-0.08333333333333326,0.45,0.0,7.75,0.0,7.18,0.0,6.35,0.0,18.26,0.0,17.82,0.0,22.11,0.0,27.64,0.0,6.35,0.0,-22.32,-0.0,0.0,0.0,0,-2.53,-0.0,9.19,-0.012889366272825026,3.16,0.0,39.59,0.0,0.0,0.0,29.82,0.0,37.39,0.0,0.016130646275355952
BLD,-0.03121410267738799,0.6950626182999999,0.0311866954215256,7503000000,0.0,9.0,0.0,0.08081674354,-0.11397819690401498,2.26,0.0,2.691299603,0.0,126,0.0,21.72,-0.09950248756218914,0,0.0,0,0.0,0.0,0.0,9,64,16,0.0,39.5,0.0,5.04,-0.01945525291828787,-2.7,-0.0,40.85,0.0,9.99,0.0,0.0,0.0,0.0,0.0,7.42,0.0,10.68,0.0,12.56,0.0,7.42,0.0,0.0,0.0,6,0.0,87.14,0.0,9.53,0.0,0.81,0.0,77.51,0.0,-34.42,-0.0,-16.05,-0.0,-22.27,-0.0,9.15,0.0,8.0,0.0,0,7,0.0,0,81.63,0.0,0.66,0.0,0,0,-7.65,-0.0,24.05,0.0,0,32.92,0.0,56.62,0.0,11.2,0.0,0.0,0.66,0.03125000000000003,25.04,0.0,0.0,1.89,0.0,26.49,0.0,56.08,0.0,54.63,0.0,0.28,0.0,1.68,0.0,0.59,0.0,0.28,0.0,3.31,0.03437499999999996,5.43,0.0,3.89,0.0,0.48,0.0,22.18,-0.029321663019693727,18.87,-0.029320987654321,2.9,-0.030100334448160633,23.74,-0.03220546269873635,22.46,0.0,0.5,0.0,28.48,0.0,3.45,0.0,0.21,0.0,0.26,0.0,5.5,-0.029982363315696637,30.25,-0.03106982703395256,30.25,-0.03106982703395256,0.77,-0.025316455696202552,23.56,-0.03125000000000006,0.0,0.0,20.88,-0.03064066852367689,24.53,-0.031200631911532353,0.0,0.0,2.75,-0.03169014084507037,1.56,0.0,23.49,0.0,10.18,0.0,15.02,0.0,95.29,0.0,18.01,0.0,21.52,0.0,4.77,0.0,15.02,0.0,1.41,0.0,0.0,0.0,0,0.39,0.0,10.16,-0.007812500000000007,12.26,0.0,27.45,0.0,0.0,0.0,9.81,0.0,14.29,0.0,0.016130646275355952
Y,0.027037445766375894,0.5028509977000001,-0.03474505125015333,8750000000,0.0,5.196152423,0.0,0.08207180365,-0.19478177735823976,0.97,0.0,1.954084596,6.883159439474068,65,0.04838709677419355,12.89,0.334368530020704,0,0.0,-1,-0.0,1.0,0.0,6,27,18,0.0,-7.1,-0.0,0.0,0.0,-2.91,-0.0,623.57,0.0,56.37,0.0,0.0,0.0,31.78,0.0,7.03,0.0,17.46,0.0,28.67,0.0,7.03,0.0,0.0,0.0,4,0.0,96.76,0.0,70.05,0.0,6.03,0.0,91.52,0.0,-1329.35,-0.0,0.0,0.0,-1173.03,-0.0,88.04,0.0,4.0,0.0,0,6,0.0,0,623.52,0.0,0.33,0.0,0,0,527.94,0.0,152.12,0.0,0,147.02,0.0,395.56,0.0,17.89,0.0,0.0,2.05,-0.023809523809523937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,1.81,0.0,0.24,0.0,0.2,0.0,1.03,-0.028301886792452855,2.5,0.0,4.65,0.0,0.3,0.0,44.17,0.022453703703703677,26.75,0.02255351681957186,1.22,0.02521008403361347,0.0,0.0,-11.0,-0.0,0.02,0.0,37.14,0.0,0.0,0.0,0.0,0.0,0.07,0.0,1.09,0.028301886792452855,96.83,0.025741525423728734,96.83,0.025741525423728734,0.0,0.0,9.72,0.026399155227032733,0.0,0.0,9.37,0.026286966046002017,7.73,0.02519893899204249,1.29,0.02380952380952383,1.09,0.028301886792452855,0.0,0.0,2.33,0.0,2.22,0.0,2.8,0.0,0.0,0.0,0.0,0.0,7.34,0.0,7.57,0.0,2.8,0.0,2.25,0.0,21.42,0.025862068965517373,0,1.21,0.0,4.92,-0.008064516129032265,9.12,0.0,0.0,0.0,0.0,0.0,5.97,0.0,0.0,0.0,0.016130646275355952
LND,0.2031473214285714,2.444756554,-0.17415730338596866,422718000,0.36075325929502655,5.0,0.0,0.0892988925,-0.2039805763182395,1.96,0.0,1.2238888890000001,0.0,55,0.03773584905660377,7.0,-1.5737704918032787,3,-2.0,1,0.0,1.0,0.0,18,73,15,0.0,21.3,0.0,2.43,0.07048458149779742,-2.3,-0.0,3.76,0.0,0.7,0.0,0.22,0.0,0.26,0.0,0.5,0.0,1.14,0.0,1.39,0.0,0.5,0.0,0.0,0.0,5,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.07,0.0,-2.22,-0.0,-0.86,-0.0,-1.45,-0.0,1.11,0.0277777777777778,5.0,0.0,0,6,-0.14285714285714285,0,1.99,0.0,0.75,0.0,0,0,3.75,0.0,1.94,0.0,0,43.73,0.0,28.63,0.0,-12.42,-0.0,0.0,0.0,0.0,173.81,0.0,0.0,1.54,0.0,142.3,0.0,34.41,0.0,65.92,0.0,0.29,0.0,0.57,0.0,0.52,0.0,0.68,0.0,9.75,-0.11040145985401467,20.7,0.0,104.45,0.0,0.56,0.0,7.01,0.11446740858505561,5.73,0.11478599221789898,4.03,0.11634349030470925,0.0,0.0,22.39,0.0,0.0,0.0,13.73,0.0,0.64,0.0,1.06,0.0,0.18,0.0,1.35,0.1250000000000001,10.25,0.12390350877192992,10.25,0.12390350877192992,0.48,0.11627906976744183,12.99,0.12370242214532869,0.0,0.0,10.63,0.12367864693446087,4.58,0.09307875894988059,1.35,0.1250000000000001,2.55,0.12334801762114529,1.02,0.0,14.19,0.0,14.18,0.0,13.05,0.0,203.59,0.0,57.11,0.0,25.52,0.0,24.08,0.0,13.05,0.0,-10.3,-0.0,19.54,0.12428078250863063,0,2.05,0.0,6.69,0.004504504504504542,52.83,0.0,31.83,0.0,0.0,0.0,32.86,0.0,24.82,0.0,0.016130646275355952
REG,0.017561807331628324,0.372677184,-0.03467134706403936,9623000000,0.0,12.36931688,0.0,0.06529422632,-0.33638694323352897,7.83,0.0,-0.171969697,-0.0,70,0.0,32.99,0.10040026684456309,0,0.0,-1,-0.0,1.0,0.0,6,6,18,0.0,0.2,0.0,1.23,0.060344827586206955,-2.74,-0.0,35.37,0.0,2.22,0.0,2.38,0.0,1.1,0.0,0.26,0.0,0.96,0.0,3.0,0.0,0.03,0.0,2.77,0.0,4,0.0,72.49,0.0,2.95,0.0,1.07,0.0,79.95,0.0,-27.04,-0.0,-25.98,-0.0,-26.48,-0.0,1.68,0.0,5.0,0.0,0,6,-0.14285714285714285,0,6.0,0.0,0.92,0.0,0,0,33.22,0.0,26.05,0.0,0,-4.35,-0.0,-5.23,-0.0,-11.67,-0.0,0.0,-1.2,-0.05511811023622052,-249.38,-0.0,0.0,1.84,0.0,0.0,0.0,296.62,0.0,47.24,0.0,0.4,0.0,6.71,0.0,0.74,0.0,4.26,0.0,0.42,-0.0454545454545455,1.38,0.0,3.55,0.0,0.55,0.0,89.36,0.043072253997898886,28.65,0.04295595194757917,14.36,0.04360465116279067,64.98,0.05830618892508152,7.08,0.0,0.02,0.0,6.49,0.0,0.0,0.0,0.0,0.0,0.38,0.0,1.75,0.06707317073170738,239.79,0.06101769911504421,2042.42,0.061019449754800115,10212.08,0.06101737178954375,20.95,0.06129685916919964,22.29,0.060923369823893264,20.95,0.06129685916919964,36.74,0.06092982962749059,1.86,0.06285714285714292,10.29,0.06082474226804123,1.84,0.0,1.45,0.0,1.4,0.0,2.41,0.0,86.75,0.0,2.89,0.0,2.56,0.0,1.98,0.0,2.41,0.0,-1.25,-0.0,56.12,0.06107014558517672,0,-3.92,-0.0,7.23,0.0013850415512466309,48.18,0.0,68.77,0.0,0.0,0.0,14.89,0.0,24.33,0.0,0.016130646275355952
CFB,-0.013960323291697245,0.6091530477,0.02242152472012671,731814000,0.0,6.708203932000001,0.0,0.09109952082999999,-0.17797391083548728,2.64,0.0,-1.5555555559999998,-0.0,51,0.0,24.09,-0.13376483279395898,-1,-0.0,1,0.0,0.0,0.0,6,42,18,0.0,0.0,0.0,0.0,0.0,-2.34,-0.0,12.08,0.0,7.91,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,3,0.0,91.24,0.0,1.42,0.0,2.37,0.0,56.78,0.0,-76.85,-0.0,0.0,0.0,-76.6,-0.0,0.0,0.0,5.0,0.0,0,2,0.0,0,3.28,0.0,-0.03,-0.0,0,0,12.08,0.0,5.69,0.0,0,0.0,0.0,-31.82,-0.0,14.15,0.0,0.0,1.06,0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.47,0.0,1.65,0.0,1.72,0.04878048780487809,0.0,0.0,10.14,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3.33,-0.0646067415730337,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.11,-0.04310344827586192,58.26,-0.04694912481596605,58.26,-0.04694912481596605,0.0,0.0,9.44,-0.04742684157416757,0.0,0.0,8.73,-0.046943231441048006,0.0,0.0,1.11,-0.04310344827586192,4.09,-0.04662004662004666,0.0,0.0,0.58,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0,5.85,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0,8.42,0.0,8.75,0.0,58.5,0.0,0.0,0.0,3.27,0.0,18.2,0.0,0.0,0.0,0.016130646275355952
OTRK,-0.0800159591445898,-0.5120521723,0.08111746893200544,554060000,-0.009173983797993526,7.937253932999999,0.0,0.04773587469,-0.46628752920165567,12.76,0.0,2.629311139,-0.2840823120654081,1010,0.001984126984126984,-51.98,0.07954309449636549,-4,0.3333333333333333,-1,-0.0,1.0,0.0,15,39,11,0.0,-3.3,-0.0,1.38,-0.05479452054794526,0.0,0.0,3.46,0.0,4.95,0.0,0.0,0.0,-7.04,-0.0,-1.45,-0.0,-0.95,-0.0,-0.84,-0.0,-1.45,-0.0,0.0,0.0,4,0.0,47.95,0.0,-0.47,-0.0,80.71,0.0,27.8,0.0,0.17,0.0,2.26,0.0,0.88,0.0,-1.12,-0.0,5.0,0.0,0,3,0.0,0,4.82,0.0,0.26,0.0,0,0,2.93,0.0,2.74,0.0,0,83.78,0.0,48.08,0.0,136.11,0.0,0.0,0.0,0.0,23.05,0.0,0.0,3.4,0.0,0.0,0.0,9.54,0.0,32.59,0.0,0.33,0.0,-10.4,-0.0,0.79,0.0,0.41,0.0,0.0,0.0,-1.54,-0.0,17.21,0.0,0.42,0.0,-31.23,-0.0206961429915334,-35.46,-0.020712510356255178,6.08,-0.020933977455716568,0.0,0.0,0.0,0.0,0.04,0.0,55.54,0.0,0.0,0.0,0.0,0.0,0.33,0.0,8.86,-0.019911504424778733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.46,-0.018761726078799182,6.37,-0.019999999999999983,3.4,0.0,-11.81,-0.0,-11.33,-0.0,-16.78,-0.0,-177.46,-0.0,-8.48,-0.0,-50.11,-0.0,-2.81,-0.0,-16.78,-0.0,-5.58,-0.0,0.0,0.0,0,-8.15,-0.0,15.79,-0.0037854889589905676,-2.82,-0.0,54.1,0.0,0.0,0.0,-11.04,-0.0,-6.24,-0.0,0.016130646275355952
